175.509	0.2449	3.341	69.551	0.7868	0.9454	0.0044
958.848	0.3491	7.7876	98.1505	0.567	0.9435	0.0032
2518.334	20.5761	28.4183	94.6037	0.5814	0.9615	0.006
2932.903	8.149	21.3549	68.8846	0.5255	0.9764	0.0026
1174.28	5.2314	7.8454	50.949	0.4369	0.968	0.0327
353.696	3.3259	3.1195	60.8541	0.7391	0.9782	0.0454
186.938	1.4997	2.9187	66.4254	0.7448	0.9439	0.0637
1056.666	30.3839	19.8525	32.2699	0.6465	0.9913	0.0058
309.36	0.1282	1.4456	67.2453	0.5406	0.9649	0.0033
3299.508	7.0626	22.9196	70.9403	0.4367	0.9686	0.002
648.414	2.1878	4.5014	48.4554	0.5352	0.948	0.0045
2023.349	3.7405	13.2626	69.7648	0.4497	0.9627	0.0055
350.678	2.7855	6.0011	58.4892	0.8277	0.9409	0.1562
1378.502	0.562	8.3126	113.0644	0.3888	0.9244	0.0014
622.082	1.0137	3.311	61.6868	0.7312	0.9338	0.0133
267.561	3.0074	4.5715	61.2799	0.615	0.9583	0.0055
535.784	2.3045	10.2658	42.9812	0.49	0.9812	0.0015
696.882	12.4043	11.5289	70.5678	0.5717	0.9817	0.0038
3470.387	8.9537	19.9723	86.5173	0.2549	0.951	0.0004
