175.509	0.2449	3.341	69.551	736.6533	6.4814	0.5091	0.0419
958.848	0.3491	7.7876	98.1505	1186.2974	14.6708	0.3413	0.039
2518.334	20.5761	28.4183	94.6037	1614.1303	16.061	0.3493	0.0481
2932.903	8.149	21.3549	68.8846	1044.3944	14.7784	0.2916	0.0328
1174.28	5.2314	7.8454	50.949	909.4184	16.4096	0.2453	0.0571
353.696	3.3259	3.1195	60.8541	706.2907	7.9326	0.5296	0.1995
186.938	1.4997	2.9187	66.4254	703.7956	6.5605	0.5127	0.2345
1056.666	30.3839	19.8525	32.2699	321.8584	7.5246	0.3839	0.049
309.36	0.1282	1.4456	67.2453	1096.8316	13.9504	0.2783	0.0326
3299.508	7.0626	22.9196	70.9403	1358.3941	19.8003	0.2276	0.0306
648.414	2.1878	4.5014	48.4554	501.8097	10.6334	0.3036	0.0409
2023.349	3.7405	13.2626	69.7648	1088.6612	16.8343	0.253	0.0465
350.678	2.7855	6.0011	58.4892	540.3909	6.043	0.6945	0.3563
1378.502	0.562	8.3126	113.0644	2247.0817	21.7493	0.2262	0.023
622.082	1.0137	3.311	61.6868	682.4569	9.198	0.5333	0.0865
267.561	3.0074	4.5715	61.2799	872.1555	10.8876	0.3535	0.0457
535.784	2.3045	10.2658	42.9812	891.5555	13.3332	0.2445	0.0221
696.882	12.4043	11.5289	70.5678	454.7691	9.567	0.3033	0.0346
3470.387	8.9537	19.9723	86.5173	1801.7165	25.9643	0.1068	0.011
